post_id,platform,post_type,post_date,day_of_week,posting_hour,caption_length,hashtags_count,likes,comments,shares,saves,engagement_rate
43,Instagram,Carousel,19-06-2024,Wednesday,9,215,1,3422,690,256,274,1.3565166569257745
44,Facebook,Reel,28-08-2024,Wednesday,13,32,6,1872,209,473,359,1.5560897435897436
45,Facebook,Carousel,23-07-2024,Tuesday,22,224,17,2739,290,73,286,1.2369477911646587
46,Twitter,Image,18-06-2024,Tuesday,7,75,19,276,123,269,183,3.0833333333333335
47,Twitter,Carousel,10-08-2024,Saturday,9,217,18,2881,751,323,447,1.527941686914266
48,Twitter,Carousel,07-04-2024,Sunday,12,206,13,2136,50,448,2,1.2340823970037453
49,Instagram,Carousel,05-02-2024,Monday,15,279,9,2754,643,323,680,1.597676107480029
50,Instagram,Reel,28-07-2024,Sunday,19,214,5,2722,417,304,568,1.4735488611315208
51,Facebook,Image,18-10-2024,Friday,12,240,18,2515,420,563,1,1.3912524850894632
52,Instagram,Carousel,13-06-2024,Thursday,21,106,2,3859,457,454,692,1.415392588753563
53,Instagram,Carousel,25-05-2024,Saturday,15,135,6,4272,684,345,96,1.2633426966292134
54,Twitter,Reel,16-03-2024,Saturday,20,232,20,250,52,252,487,4.164
55,Facebook,Reel,21-10-2024,Monday,10,22,3,1642,740,395,507,2.0
56,Instagram,Carousel,05-08-2024,Monday,13,82,14,1842,185,532,476,1.6476655808903367
57,Twitter,Image,09-03-2024,Saturday,20,278,13,3856,688,545,573,1.4683609958506223
58,Facebook,Reel,07-10-2024,Monday,14,286,15,3702,167,488,461,1.3014586709886549
59,Instagram,Image,02-05-2024,Thursday,16,183,17,2299,455,81,293,1.3605915615484994
60,Twitter,Reel,11-02-2024,Sunday,12,52,13,1183,159,238,393,1.6677937447168216
61,Instagram,Reel,27-07-2024,Saturday,19,219,18,2760,560,479,426,1.5307971014492754
62,Facebook,Image,11-01-2024,Thursday,18,234,17,4766,394,490,7,1.1869492236676458
63,Facebook,Image,06-10-2024,Sunday,21,34,12,4991,230,501,225,1.1915447806050892
64,Instagram,Carousel,21-06-2024,Friday,23,33,12,3362,746,171,479,1.415229030339084
65,Facebook,Reel,15-10-2024,Tuesday,7,153,12,272,90,440,139,3.4595588235294117
66,Facebook,Image,16-06-2024,Sunday,19,149,2,1783,470,336,346,1.6461020751542343
67,Facebook,Reel,28-08-2024,Wednesday,8,40,0,208,772,554,54,7.634615384615385
68,Instagram,Image,06-05-2024,Monday,9,131,14,1683,25,158,245,1.2543077837195484
69,Facebook,Reel,11-05-2024,Saturday,6,179,18,3071,176,119,168,1.1507652230543797
70,Twitter,Carousel,11-07-2024,Thursday,13,72,9,3299,737,205,78,1.309184601394362
71,Facebook,Carousel,02-03-2024,Saturday,17,55,16,4686,47,357,546,1.2027315407597097
72,Facebook,Image,23-06-2024,Sunday,20,98,13,153,435,503,109,7.8431372549019605
73,Twitter,Image,31-03-2024,Sunday,20,243,18,4324,671,278,631,1.3654024051803886
74,Facebook,Reel,17-05-2024,Friday,20,214,10,2690,256,90,286,1.2349442379182156
75,Instagram,Image,15-01-2024,Monday,14,194,8,4099,337,188,500,1.2500609904854842
76,Instagram,Reel,21-05-2024,Tuesday,19,270,17,4603,15,531,196,1.1611992179013686
77,Instagram,Reel,03-05-2024,Friday,15,133,12,3950,666,504,459,1.4124050632911394
78,Facebook,Carousel,04-05-2024,Saturday,22,196,13,2558,684,597,378,1.648553557466771
79,Facebook,Image,08-10-2024,Tuesday,13,81,6,2759,365,466,278,1.401957230880754
80,Instagram,Reel,10-06-2024,Monday,21,161,18,1029,765,550,190,2.4625850340136055
81,Facebook,Reel,25-09-2024,Wednesday,17,111,9,4938,294,104,199,1.12089914945322
82,Instagram,Carousel,08-01-2024,Monday,15,84,20,4425,134,282,47,1.104632768361582
83,Facebook,Image,08-09-2024,Sunday,20,194,5,890,17,589,292,2.0089887640449438
84,Facebook,Image,27-01-2024,Saturday,8,47,4,2118,494,118,67,1.3205854579792258
85,Instagram,Carousel,17-03-2024,Sunday,19,135,16,4660,316,89,255,1.1416309012875536
86,Facebook,Image,13-07-2024,Saturday,7,70,6,3740,458,306,603,1.3655080213903743
87,Instagram,Reel,18-04-2024,Thursday,23,58,5,2217,681,85,161,1.4181326116373478
88,Instagram,Reel,02-01-2024,Tuesday,15,164,14,3396,466,483,299,1.3674911660777385
89,Instagram,Carousel,06-02-2024,Tuesday,13,96,8,1962,275,204,436,1.466360856269113
90,Twitter,Carousel,13-03-2024,Wednesday,15,244,3,634,66,171,315,1.8706624605678233
91,Twitter,Carousel,27-08-2024,Tuesday,21,244,2,2541,721,414,279,1.556473829201102
92,Facebook,Reel,21-01-2024,Sunday,8,137,18,3589,757,332,619,1.4758985789913626
93,Instagram,Reel,27-10-2024,Sunday,21,285,20,219,788,277,591,8.561643835616438
94,Facebook,Reel,14-08-2024,Wednesday,21,198,13,2328,190,448,651,1.5536941580756014
95,Facebook,Image,19-06-2024,Wednesday,21,167,12,2680,691,109,165,1.3600746268656716
96,Facebook,Image,08-10-2024,Tuesday,9,226,16,350,470,92,323,3.5285714285714285
97,Instagram,Carousel,01-01-2024,Monday,17,275,20,4494,478,425,56,1.2133956386292835
98,Instagram,Image,14-08-2024,Wednesday,20,268,3,472,213,275,563,3.2266949152542375
99,Twitter,Reel,15-01-2024,Monday,23,228,2,2010,731,164,319,1.6039800995024875
100,Instagram,Image,25-04-2024,Thursday,15,280,8,979,477,122,664,2.2900919305413687
101,Twitter,Reel,31-07-2024,Wednesday,18,117,19,4002,488,251,468,1.3015992003998
102,Facebook,Carousel,17-09-2024,Tuesday,14,21,9,1168,76,284,425,1.6720890410958904
103,Facebook,Carousel,01-06-2024,Saturday,21,196,10,4858,598,503,153,1.2581309180732811
104,Instagram,Carousel,09-10-2024,Wednesday,13,216,7,4501,391,468,330,1.2641635192179517
105,Facebook,Carousel,29-07-2024,Monday,10,273,1,407,330,486,391,3.9656019656019654
106,Facebook,Reel,05-03-2024,Tuesday,22,253,0,4164,609,341,103,1.2528818443804035
107,Facebook,Image,14-03-2024,Thursday,16,223,20,3408,675,160,77,1.267605633802817
108,Facebook,Carousel,11-02-2024,Sunday,21,297,1,2741,695,548,390,1.5957679678949288
109,Twitter,Reel,05-02-2024,Monday,19,70,20,1973,651,296,233,1.5980739989863153
110,Instagram,Image,21-02-2024,Wednesday,7,170,11,3684,175,308,30,1.1392508143322475
111,Facebook,Carousel,10-07-2024,Wednesday,11,107,5,3578,154,252,544,1.2655114589155954
112,Twitter,Reel,10-02-2024,Saturday,13,256,20,3183,639,248,510,1.438894125039271
113,Facebook,Carousel,10-05-2024,Friday,23,100,2,3814,266,11,477,1.1976927110644993
114,Facebook,Carousel,14-08-2024,Wednesday,14,253,9,2880,606,308,655,1.5447916666666666
115,Facebook,Carousel,11-04-2024,Thursday,17,171,9,3201,499,111,243,1.2664792252421118
116,Twitter,Carousel,12-01-2024,Friday,7,274,9,3292,286,10,580,1.2660996354799514
117,Facebook,Carousel,27-04-2024,Saturday,10,69,20,2936,229,196,636,1.361376021798365
118,Facebook,Carousel,21-01-2024,Sunday,10,66,9,2580,456,36,594,1.4209302325581394
119,Twitter,Image,16-06-2024,Sunday,22,276,8,3453,184,207,136,1.1526209093541848
120,Instagram,Image,25-03-2024,Monday,8,92,7,2155,498,304,347,1.5331786542923433
121,Instagram,Image,22-07-2024,Monday,23,83,14,4615,379,94,405,1.190249187432286
122,Facebook,Reel,07-07-2024,Sunday,13,261,0,2197,603,392,654,1.7505689576695493
123,Instagram,Carousel,14-10-2024,Monday,20,174,20,2737,629,228,664,1.555717939349653
124,Facebook,Image,28-07-2024,Sunday,9,69,7,1005,148,48,39,1.2338308457711442
125,Twitter,Carousel,02-10-2024,Wednesday,23,234,18,1161,402,466,380,2.0749354005167957
126,Twitter,Image,20-03-2024,Wednesday,14,36,11,3448,675,103,502,1.37122969837587
127,Instagram,Carousel,21-04-2024,Sunday,17,298,20,3682,460,243,372,1.2919608908202065
128,Instagram,Image,02-07-2024,Tuesday,8,128,20,546,412,284,195,2.631868131868132
129,Twitter,Reel,11-01-2024,Thursday,8,126,18,464,346,251,129,2.564655172413793
130,Instagram,Image,20-04-2024,Saturday,10,86,17,1958,341,153,611,1.5643513789581205
131,Instagram,Image,08-05-2024,Wednesday,13,185,0,1479,117,28,135,1.189317106152806
132,Twitter,Reel,30-03-2024,Saturday,8,263,14,2223,58,131,432,1.2793522267206479
133,Twitter,Reel,04-07-2024,Thursday,7,286,9,4254,612,113,463,1.2792665726375176
134,Facebook,Carousel,22-08-2024,Thursday,9,271,14,305,67,492,412,4.18360655737705
135,Instagram,Image,07-02-2024,Wednesday,23,186,12,711,334,153,68,1.780590717299578
136,Facebook,Reel,28-09-2024,Saturday,9,130,13,2465,469,519,620,1.6523326572008115
137,Facebook,Image,19-08-2024,Monday,9,180,13,1921,428,349,465,1.646538261322228
138,Instagram,Reel,09-06-2024,Sunday,8,67,13,2138,388,158,486,1.4826941066417212
139,Twitter,Carousel,19-02-2024,Monday,23,188,3,3102,138,571,62,1.248549323017408
140,Facebook,Carousel,29-07-2024,Monday,15,200,3,2946,686,435,53,1.3985064494229464
141,Facebook,Reel,22-10-2024,Tuesday,9,199,17,4206,222,160,673,1.2508321445553972
142,Instagram,Image,07-07-2024,Sunday,23,33,19,991,785,287,588,2.6750756811301715
143,Facebook,Image,16-05-2024,Thursday,6,112,4,287,189,281,317,3.7421602787456445
144,Instagram,Reel,16-10-2024,Wednesday,22,130,12,3333,76,147,649,1.2616261626162617
145,Facebook,Carousel,02-08-2024,Friday,16,63,1,3766,354,163,379,1.237918215613383
146,Instagram,Image,20-03-2024,Wednesday,20,237,15,1339,777,52,691,2.135175504107543
147,Instagram,Image,14-08-2024,Wednesday,19,76,9,3442,284,222,525,1.299535153980244
148,Instagram,Image,06-09-2024,Friday,7,23,6,4366,688,317,47,1.2409528172240036
149,Facebook,Image,03-06-2024,Monday,9,23,15,1780,790,142,262,1.6707865168539326
150,Twitter,Reel,08-08-2024,Thursday,22,201,2,1489,137,391,546,1.7212894560107455
151,Instagram,Image,22-07-2024,Monday,19,227,20,396,451,21,471,3.3813131313131315
152,Facebook,Reel,01-08-2024,Thursday,20,205,2,2421,122,416,22,1.231309376290789
153,Facebook,Carousel,11-08-2024,Sunday,8,222,9,917,254,448,604,2.4242093784078516
154,Twitter,Carousel,22-06-2024,Saturday,9,291,16,1865,346,174,79,1.3211796246648793
155,Instagram,Reel,09-04-2024,Tuesday,14,121,5,2912,364,153,242,1.2606456043956045
156,Twitter,Carousel,19-03-2024,Tuesday,20,185,20,667,186,507,476,2.752623688155922
157,Facebook,Carousel,10-06-2024,Monday,15,160,18,1286,455,71,481,1.7830482115085537
158,Facebook,Image,29-01-2024,Monday,7,49,11,2933,524,77,318,1.3133310603477668
159,Twitter,Carousel,26-05-2024,Sunday,18,256,18,678,665,94,630,3.0486725663716814
160,Instagram,Image,10-10-2024,Thursday,21,276,4,386,465,587,668,5.455958549222798
161,Twitter,Carousel,01-02-2024,Thursday,11,40,7,3740,110,353,87,1.1470588235294117
162,Instagram,Image,12-08-2024,Monday,17,164,12,3649,541,537,625,1.4667032063579062
163,Twitter,Image,28-07-2024,Sunday,8,188,3,2821,700,55,647,1.4969868840836582
164,Twitter,Reel,12-10-2024,Saturday,16,61,18,3216,295,260,673,1.3818407960199004
165,Twitter,Carousel,13-03-2024,Wednesday,8,178,17,2915,322,403,133,1.2943396226415094
166,Twitter,Carousel,11-07-2024,Thursday,19,280,11,2740,135,541,96,1.2817518248175181
167,Facebook,Image,10-01-2024,Wednesday,12,135,4,3020,321,186,220,1.2407284768211921
168,Twitter,Carousel,20-03-2024,Wednesday,22,39,10,682,307,105,520,2.366568914956012
169,Instagram,Carousel,08-03-2024,Friday,11,244,1,4942,390,159,167,1.1448806151355726
170,Twitter,Image,29-07-2024,Monday,20,139,17,3034,697,245,455,1.46044825313118
171,Twitter,Carousel,02-05-2024,Thursday,20,256,9,2585,485,200,377,1.4108317214700195
172,Instagram,Carousel,14-07-2024,Sunday,10,148,1,4169,545,430,166,1.2736867354281602
173,Instagram,Image,03-09-2024,Tuesday,8,102,8,3090,572,107,529,1.3909385113268609
174,Instagram,Image,18-08-2024,Sunday,17,33,13,4255,155,449,94,1.164042303172738
175,Facebook,Reel,28-01-2024,Sunday,17,134,0,3297,519,384,242,1.3472854109796786
176,Instagram,Reel,12-06-2024,Wednesday,15,261,4,861,736,345,150,2.429732868757259
177,Instagram,Image,28-08-2024,Wednesday,12,96,17,3724,635,7,82,1.1944146079484426
178,Facebook,Reel,27-09-2024,Friday,7,142,13,3517,118,297,244,1.187375604208132
179,Twitter,Reel,22-08-2024,Thursday,22,143,4,564,118,513,612,3.2039007092198584
180,Twitter,Image,29-05-2024,Wednesday,11,63,16,3566,6,363,247,1.1727425687044308
181,Twitter,Carousel,03-07-2024,Wednesday,6,219,15,604,543,559,520,3.685430463576159
182,Facebook,Reel,23-01-2024,Tuesday,17,143,20,3219,387,261,17,1.2065858962410687
183,Instagram,Image,23-02-2024,Friday,23,193,20,4816,757,342,137,1.2566445182724253
184,Instagram,Reel,30-03-2024,Saturday,8,254,1,3856,717,492,647,1.4813278008298756
185,Facebook,Image,30-05-2024,Thursday,22,223,17,1701,49,206,43,1.175191064079953
186,Facebook,Reel,30-08-2024,Friday,16,159,3,2125,42,197,293,1.2503529411764707
187,Facebook,Reel,07-07-2024,Sunday,21,274,11,3629,414,452,396,1.3477542022595757
188,Facebook,Carousel,22-09-2024,Sunday,11,299,9,2234,89,436,81,1.2712623097582811
189,Facebook,Image,13-06-2024,Thursday,20,238,5,890,86,337,677,2.235955056179775
190,Twitter,Image,15-08-2024,Thursday,14,49,2,2929,462,45,362,1.296688289518607
191,Instagram,Carousel,26-07-2024,Friday,20,37,4,3026,530,165,32,1.2402511566424324
192,Facebook,Carousel,04-02-2024,Sunday,7,98,14,1983,665,377,371,1.7125567322239033
193,Instagram,Carousel,08-07-2024,Monday,17,223,10,3097,459,80,588,1.363900548918308
194,Facebook,Carousel,22-05-2024,Wednesday,18,80,8,2094,121,28,191,1.1623686723973257
195,Instagram,Reel,13-05-2024,Monday,10,57,14,3705,224,294,503,1.2755735492577598
196,Facebook,Carousel,29-03-2024,Friday,8,297,9,3696,94,329,684,1.2995129870129871
197,Twitter,Reel,02-06-2024,Sunday,9,122,4,1340,733,180,371,1.9582089552238806
198,Twitter,Image,01-05-2024,Wednesday,20,86,19,4097,31,371,568,1.2367586038564804
199,Twitter,Image,14-02-2024,Wednesday,19,57,4,588,321,409,491,3.076530612244898
200,Twitter,Image,11-06-2024,Tuesday,10,113,4,657,465,479,697,3.497716894977169
201,Instagram,Image,09-08-2024,Friday,11,102,10,4169,61,129,531,1.1729431518349724
202,Facebook,Reel,25-04-2024,Thursday,23,160,4,2884,536,292,81,1.3151872399445215
203,Instagram,Carousel,04-06-2024,Tuesday,10,107,19,4420,100,516,657,1.2880090497737557
204,Instagram,Carousel,21-06-2024,Friday,14,127,18,4667,47,31,84,1.03471180629955
205,Twitter,Image,01-08-2024,Thursday,21,145,12,298,514,560,297,5.600671140939597
206,Facebook,Image,01-06-2024,Saturday,21,257,6,3765,79,63,162,1.0807436918990705
207,Facebook,Reel,23-06-2024,Sunday,17,283,17,1226,325,328,354,1.8213703099510603
208,Facebook,Image,24-02-2024,Saturday,13,92,3,2664,252,479,126,1.3216966966966968
209,Instagram,Image,26-01-2024,Friday,16,117,5,2427,398,430,255,1.446229913473424
210,Facebook,Reel,12-09-2024,Thursday,8,221,16,4266,483,512,316,1.3073136427566807
211,Instagram,Reel,22-08-2024,Thursday,15,273,19,2022,225,599,362,1.586547972304649
212,Facebook,Reel,28-08-2024,Wednesday,14,207,12,2390,554,10,111,1.282426778242678
213,Twitter,Reel,06-07-2024,Saturday,17,167,2,420,415,54,584,3.507142857142857
214,Twitter,Carousel,16-07-2024,Tuesday,9,85,3,4180,466,565,287,1.315311004784689
215,Instagram,Reel,20-07-2024,Saturday,22,225,16,3107,352,573,375,1.4184100418410042
216,Facebook,Carousel,21-01-2024,Sunday,20,96,19,421,44,142,342,2.2541567695961997
217,Facebook,Carousel,20-09-2024,Friday,15,192,16,1195,340,328,167,1.698744769874477
218,Facebook,Reel,17-09-2024,Tuesday,17,189,3,4410,506,578,307,1.3154195011337868
219,Facebook,Image,01-08-2024,Thursday,13,46,18,4831,320,29,612,1.198923618298489
220,Twitter,Reel,02-09-2024,Monday,7,76,6,1446,541,391,152,1.7496542185338866
221,Facebook,Carousel,10-01-2024,Wednesday,12,230,16,3662,326,430,156,1.2490442381212452
222,Instagram,Carousel,29-08-2024,Thursday,16,264,16,560,727,143,532,3.5035714285714286
223,Facebook,Carousel,11-07-2024,Thursday,17,155,19,2620,182,472,546,1.4580152671755726
224,Facebook,Reel,04-09-2024,Wednesday,15,167,6,1625,257,287,572,1.6867692307692308
225,Twitter,Image,07-09-2024,Saturday,15,82,18,2647,496,359,574,1.5398564412542501
226,Facebook,Reel,05-10-2024,Saturday,15,60,11,3160,409,355,150,1.289240506329114
227,Instagram,Carousel,14-08-2024,Wednesday,14,159,4,2150,770,492,220,1.6893023255813953
228,Twitter,Carousel,25-02-2024,Sunday,13,139,1,4857,250,250,52,1.1136504014823965
229,Twitter,Reel,21-02-2024,Wednesday,6,100,13,3435,343,485,103,1.271033478893741
230,Facebook,Image,31-08-2024,Saturday,7,65,20,3961,671,206,295,1.2958848775561727
231,Facebook,Reel,20-10-2024,Sunday,7,223,15,1952,552,40,180,1.3954918032786885
232,Twitter,Carousel,05-04-2024,Friday,9,191,9,2421,43,11,306,1.1486988847583643
233,Twitter,Image,20-08-2024,Tuesday,14,118,3,4500,541,507,138,1.2635555555555555
234,Facebook,Carousel,18-06-2024,Tuesday,11,27,10,1381,753,471,664,2.3671252715423607
235,Twitter,Carousel,31-05-2024,Friday,18,238,16,4701,695,199,180,1.2284620293554562
236,Instagram,Image,16-06-2024,Sunday,16,147,0,760,415,99,190,1.9263157894736842
237,Facebook,Image,13-05-2024,Monday,6,153,20,3192,246,459,274,1.306704260651629
238,Facebook,Reel,03-07-2024,Wednesday,18,277,9,1985,68,123,477,1.3365239294710327
239,Instagram,Image,01-03-2024,Friday,10,252,19,2466,381,228,225,1.338199513381995
240,Twitter,Carousel,10-07-2024,Wednesday,12,146,19,3456,723,564,483,1.5121527777777777
241,Instagram,Carousel,11-02-2024,Sunday,9,51,17,4354,462,542,371,1.3158015617822691
242,Instagram,Image,15-09-2024,Sunday,22,246,3,1706,591,551,154,1.7596717467760845
243,Facebook,Reel,15-04-2024,Monday,20,87,16,4827,505,95,523,1.2326496788895795
244,Facebook,Carousel,31-07-2024,Wednesday,15,31,12,3792,582,61,573,1.3206751054852321
245,Instagram,Reel,10-05-2024,Friday,19,196,2,74,768,225,593,22.43243243243243
246,Facebook,Image,04-10-2024,Friday,11,89,20,543,75,485,33,2.0920810313075506
247,Facebook,Reel,03-08-2024,Saturday,23,88,20,3117,396,461,387,1.3991017003529034
248,Twitter,Reel,27-06-2024,Thursday,13,21,0,1021,187,552,403,2.118511263467189
249,Twitter,Image,01-06-2024,Saturday,13,146,14,3842,694,559,435,1.439354502863092
250,Instagram,Carousel,26-06-2024,Wednesday,19,28,7,1320,287,195,116,1.4530303030303031
251,Twitter,Carousel,15-04-2024,Monday,7,145,1,601,108,36,458,2.0016638935108153
252,Instagram,Reel,24-07-2024,Wednesday,22,168,7,3645,244,554,223,1.2801097393689986
253,Facebook,Reel,21-10-2024,Monday,22,133,13,2662,596,330,243,1.4391435011269722
254,Twitter,Reel,02-06-2024,Sunday,19,273,1,2304,67,572,606,1.5403645833333333
255,Facebook,Reel,25-06-2024,Tuesday,15,212,5,3172,542,328,427,1.408890290037831
256,Twitter,Reel,02-10-2024,Wednesday,20,49,17,3929,251,232,308,1.2013234919826927
257,Facebook,Reel,30-07-2024,Tuesday,14,124,10,3462,575,544,138,1.3630849220103987
258,Twitter,Reel,10-02-2024,Saturday,7,157,12,3734,384,96,549,1.2755757900374933
259,Facebook,Reel,21-01-2024,Sunday,16,175,0,646,197,574,223,2.538699690402477
260,Instagram,Carousel,18-04-2024,Thursday,12,223,7,1606,764,122,491,1.8574097135740972
261,Facebook,Carousel,09-10-2024,Wednesday,17,177,8,2684,799,291,390,1.5514157973174367
262,Twitter,Image,03-07-2024,Wednesday,16,124,11,4250,514,479,101,1.2574117647058825
263,Twitter,Reel,09-06-2024,Sunday,6,153,17,3440,51,578,227,1.2488372093023257
264,Instagram,Reel,26-10-2024,Saturday,16,137,12,4794,742,429,303,1.307467667918231
265,Twitter,Image,18-10-2024,Friday,14,270,20,2063,516,565,671,1.8492486669898207
266,Instagram,Carousel,08-09-2024,Sunday,23,270,5,3825,177,362,174,1.18640522875817
267,Twitter,Reel,04-10-2024,Friday,6,231,4,531,541,36,77,2.231638418079096
268,Instagram,Carousel,28-04-2024,Sunday,20,211,1,606,729,156,10,2.4768976897689767
269,Twitter,Image,04-09-2024,Wednesday,6,28,16,4046,21,8,545,1.1418685121107266
270,Twitter,Carousel,20-05-2024,Monday,19,111,3,4438,298,19,515,1.1874718341595314
271,Twitter,Carousel,19-02-2024,Monday,14,201,8,4345,157,248,197,1.1385500575373992
272,Twitter,Reel,22-07-2024,Monday,13,173,2,697,387,417,471,2.8292682926829267
273,Twitter,Image,17-01-2024,Wednesday,7,24,5,815,420,390,387,2.4687116564417177
274,Instagram,Carousel,12-02-2024,Monday,7,137,6,4144,449,341,580,1.3305984555984556
275,Twitter,Image,17-10-2024,Thursday,23,36,5,3945,282,49,77,1.1034220532319392
276,Instagram,Image,10-06-2024,Monday,11,143,18,178,217,149,408,5.348314606741573
277,Twitter,Carousel,18-07-2024,Thursday,8,276,11,4478,344,395,144,1.1971862438588656
278,Facebook,Carousel,28-01-2024,Sunday,18,187,0,850,452,239,78,1.9047058823529412
279,Twitter,Image,19-05-2024,Sunday,19,115,18,3740,507,235,365,1.2959893048128341
280,Twitter,Reel,13-07-2024,Saturday,8,157,4,752,795,304,253,2.797872340425532
281,Facebook,Reel,13-07-2024,Saturday,8,22,9,1313,762,400,325,2.1325209444021325
282,Instagram,Reel,15-08-2024,Thursday,11,240,14,2998,784,278,105,1.3892595063375583
283,Instagram,Reel,12-10-2024,Saturday,17,67,19,4594,529,419,106,1.2294296909011755
284,Facebook,Reel,15-06-2024,Saturday,23,144,18,3205,17,300,424,1.231201248049922
285,Instagram,Image,23-09-2024,Monday,15,157,15,1439,706,391,174,1.8832522585128562
286,Facebook,Image,15-03-2024,Friday,21,59,11,568,176,447,283,2.5950704225352115
287,Twitter,Reel,08-05-2024,Wednesday,20,74,4,2070,743,509,609,1.8990338164251208
288,Facebook,Image,04-06-2024,Tuesday,20,191,13,105,410,342,636,14.219047619047618
289,Facebook,Reel,10-03-2024,Sunday,18,183,9,2511,333,207,491,1.4105933890880127
290,Facebook,Image,08-09-2024,Sunday,17,78,18,4767,253,335,386,1.2043213761275435
291,Twitter,Reel,12-04-2024,Friday,20,127,14,4901,563,186,699,1.2954499081820037
292,Twitter,Image,29-05-2024,Wednesday,13,149,4,616,423,513,143,2.7516233766233764
293,Facebook,Carousel,04-08-2024,Sunday,18,293,16,3138,80,461,613,1.3677501593371575
294,Twitter,Carousel,02-08-2024,Friday,8,75,7,4503,42,370,550,1.2136353542083056
295,Twitter,Carousel,30-06-2024,Sunday,18,189,13,1412,667,47,577,1.9143059490084986
296,Twitter,Carousel,24-02-2024,Saturday,22,133,14,136,105,266,228,5.404411764705882
297,Facebook,Reel,10-07-2024,Wednesday,21,73,9,3254,479,514,155,1.3527965580823602
298,Facebook,Image,31-07-2024,Wednesday,20,125,16,753,123,147,357,1.8326693227091633
